id,name,alias,operator,country,region,lat,lon,precision,env,kind,target,status,since,crew,duration,url,afi,tier,score_isolation,score_environment,score_duration,score_eva,score_comms,score_closure,score_ops,score_science
mdrs,Mars Desert Research Station,MDRS,The Mars Society,United States,North America,38.4065,-110.7919,exact,desert,habitat,Mars,active,2001,6–7,2–3 weeks (rotating field season),https://mdrs.marssociety.org/,74.8,IV,4,5,3,4,3,3,4,4
fmars,Flashline Mars Arctic Research Station,FMARS,The Mars Society,Canada,North America,75.4313,-89.8234,exact,arctic,habitat,Mars,dormant,2000,6–7,1 week – 100 days,https://www.marssociety.org/,77.8,IV,5,5,3,4,3,3,4,4
hmp,Haughton–Mars Project Research Station,HMP,Mars Institute / SETI Institute / NASA,Canada,North America,75.4333,-89.8167,approx,crater,field,Moon & Mars,seasonal,1997,10–40 (field camp),4–8 week summer campaigns,https://www.marsinstitute.no/hmp,77.6,IV,5,5,3,4,3,2,4,5
hera,Human Exploration Research Analog,HERA,NASA Johnson Space Center,United States,North America,29.5586,-95.09,approx,chamber,chamber,Deep space,active,2014,4 (6 for short runs),"30–45 days, up to 6 months capability",https://www.nasa.gov/analogs/hera,71.2,IV,5,1,4,1,5,2,5,5
chapea,CHAPEA — Mars Dune Alpha,CHAPEA,NASA Johnson Space Center,United States,North America,29.5583,-95.0853,approx,chamber,chamber,Mars,active,2023,4,378 days (1 Mars-surface year analog),https://www.nasa.gov/humans-in-space/chapea/,81.2,IV,5,2,5,2,5,3,5,5
hiseas,HI-SEAS,Hawaiʻi Space Exploration Analog and Simulation,International MoonBase Alliance (formerly Univ. of Hawaiʻi / NASA),United States,North America,19.6024,-155.4872,exact,volcanic,habitat,Moon & Mars,active,2013,4–6,"1–2 weeks now; historically 4, 8 and 12 months",https://www.hi-seas.org/,87.6,V,5,5,4,4,5,3,4,5
neemo,NEEMO — Aquarius Reef Base,NEEMO,NASA / Florida International University,United States,North America,25.0378,-80.4519,approx,underwater,underwater,Moon & Mars,active,2001,4–6 aquanauts,7–21 days,https://www.nasa.gov/mission/neemo/,81.6,IV,5,3,2,5,4,4,5,5
sam-b2,SAM — Space Analog for the Moon and Mars,SAM,University of Arizona Biosphere 2,United States,North America,32.5786,-110.8515,approx,chamber,habitat,Moon & Mars,active,2023,4–6,3 days – 2 weeks,https://samb2.space/,78.8,IV,5,3,2,4,4,5,4,5
biosphere2,Biosphere 2 (closure missions),B2,University of Arizona (originally Space Biospheres Ventures),United States,North America,32.5786,-110.8515,exact,chamber,historic,Deep space,historic,1991,8 / 7,"2 years (1991–93), 6 months (1994)",https://biosphere2.org/,68.8,III,5,2,5,1,2,5,3,4
drats,Desert RATS — Black Point Lava Flow,D-RATS,NASA,United States,North America,35.533,-111.42,approx,volcanic,field,Moon & Mars,seasonal,1997,varies (2 in rover cabin),1–14 days,https://www.nasa.gov/analog-missions/,76,IV,3,5,2,5,4,2,5,5
meteor-crater,Meteor Crater / Barringer field site,Meteor Crater,NASA / USGS Astrogeology (training use),United States,North America,35.0272,-111.0225,exact,crater,field,Moon,active,1963,training groups,days,https://www.usgs.gov/centers/astrogeo-sc,40.4,II,1,5,0,3,1,0,3,4
jsc-rockyard,JSC Rock Yard & Planetary Analog Terrain,Rock Yard,NASA Johnson Space Center,United States,North America,29.5525,-95.093,approx,analog-terrain,field,Moon & Mars,active,1990,test teams,hours – days,https://www.nasa.gov/reference/jsc-analogs-mockups/,40,II,0,4,0,3,2,0,4,4
nbl,Neutral Buoyancy Laboratory,NBL,NASA Johnson Space Center,United States,North America,29.596,-95.103,approx,underwater,field,Deep space,active,1997,2 suited + dive team,6-hour runs,https://www.nasa.gov/johnson/neutral-buoyancy-laboratory/,50.2,II,1,1,0,5,4,1,5,4
